stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,coordonnees_geo,nom_arrondissement_communes,code_insee_commune,station_opening_hours
22207,Rond-point du Dr Albert Schweitzer,OUI,22,1,17,5,12,OUI,OUI,2026-02-07T22:00:44+00:00,"{'lon': 2.3143940046429634, 'lat': 48.78980918988166}",Bagneux,92007,
21010,Silly - Galliéni,OUI,25,16,9,8,1,OUI,OUI,2026-02-07T22:02:26+00:00,"{'lon': 2.2325500845909, 'lat': 48.835583838706}",Boulogne-Billancourt,92012,
8103,Artois - Berri,OUI,37,31,6,3,3,OUI,OUI,2026-02-07T22:00:44+00:00,"{'lon': 2.306425832212, 'lat': 48.873935212408}",Paris,75056,
14108,Le Brix et Mesmin - Jourdan,OUI,21,18,3,1,2,OUI,OUI,2026-02-07T22:03:42+00:00,"{'lon': 2.327861653302471, 'lat': 48.82234096593411}",Paris,75056,
17048,De Toqueville - Terrasse,OUI,30,11,15,5,10,OUI,OUI,2026-02-07T22:01:39+00:00,"{'lon': 2.314002, 'lat': 48.882428}",Paris,75056,
31024,Romainville - Vaillant-Couturier,OUI,38,35,3,0,3,OUI,OUI,2026-02-07T22:00:27+00:00,"{'lon': 2.446748, 'lat': 48.86785}",Montreuil,93048,
44017,Jules Guesde - Pont du Port à l'Anglais,OUI,30,17,12,10,2,OUI,OUI,2026-02-07T22:04:21+00:00,"{'lon': 2.417212128639221, 'lat': 48.79628807093802}",Vitry-sur-Seine,94081,
21108,Mairie de Clichy,OUI,51,15,36,29,7,OUI,OUI,2026-02-07T22:03:41+00:00,"{'lon': 2.3059353232384, 'lat': 48.903653634661}",Clichy,92024,
16118,Michel-Ange - Parent de Rosan,OUI,26,15,11,7,4,OUI,OUI,2026-02-07T22:04:05+00:00,"{'lon': 2.2584119439125065, 'lat': 48.840579923690115}",Paris,75056,
17044,Porte de Saint-Ouen - Bessières,OUI,42,34,8,3,5,OUI,OUI,2026-02-07T22:03:26+00:00,"{'lon': 2.32851451022192, 'lat': 48.89792240854517}",Paris,75056,
2017,Caire - Dussoubs,OUI,40,3,36,26,10,OUI,OUI,2026-02-07T22:02:30+00:00,"{'lon': 2.349364310503006, 'lat': 48.86785342111862}",Paris,75056,
19033,Cambrai - Benjamin Constant,OUI,43,38,5,0,5,OUI,OUI,2026-02-07T22:02:35+00:00,"{'lon': 2.381133802246315, 'lat': 48.89594736851349}",Paris,75056,
8048,Marceau - Chaillot,OUI,21,21,0,0,0,OUI,OUI,2026-02-07T21:55:06+00:00,"{'lon': 2.2986030816809, 'lat': 48.868834023334}",Paris,75056,
17025,Chazelles - Courcelles,OUI,35,33,2,1,1,OUI,OUI,2026-02-07T21:57:31+00:00,"{'lon': 2.3034455627202988, 'lat': 48.879406604954}",Paris,75056,
40016,Sarrazins - Saussure,OUI,22,17,5,0,5,OUI,OUI,2026-02-07T22:03:14+00:00,"{'lon': 2.4717841148376, 'lat': 48.769626617432}",Créteil,94028,
21326,Moulin de Pierre - Abbé Grégoire,OUI,20,19,1,1,0,OUI,OUI,2026-02-07T21:58:25+00:00,"{'lon': 2.2754641655975, 'lat': 48.822036188382}",Issy-les-Moulineaux,92040,
18111,Félix Ziem - Armand Gauthier,OUI,25,24,1,1,0,OUI,OUI,2026-02-07T22:00:47+00:00,"{'lon': 2.333393658804396, 'lat': 48.88949630486821}",Paris,75056,
20143,Ramponeau - Belleville,OUI,44,27,16,4,12,OUI,OUI,2026-02-07T22:04:16+00:00,"{'lon': 2.379056852114, 'lat': 48.871031137596}",Paris,75056,
9002,Abbeville - Faubourg Poissonnière,OUI,14,7,3,1,2,OUI,OUI,2026-02-07T22:03:39+00:00,"{'lon': 2.349147, 'lat': 48.879223}",Paris,75056,
43002,Lagny - Victor Basch,OUI,26,19,5,1,4,OUI,OUI,2026-02-07T22:00:16+00:00,"{'lon': 2.426325418925233, 'lat': 48.84884147189881}",Vincennes,94080,
16110,Octave Feuillet - Albéric Magnard,OUI,21,17,4,0,4,OUI,OUI,2026-02-07T22:04:07+00:00,"{'lon': 2.2730283066630363, 'lat': 48.86106902949534}",Paris,75056,
21216,Louis Lejeune - Barbès,OUI,25,25,0,0,0,OUI,OUI,2026-02-07T21:59:06+00:00,"{'lon': 2.3267009854316716, 'lat': 48.81807418981508}",Montrouge,92049,
44015,Rouget de L'isle - Watteau,OUI,20,11,9,4,5,OUI,OUI,2026-02-07T22:01:18+00:00,"{'lon': 2.3963020229163, 'lat': 48.778192750803}",Vitry-sur-Seine,94081,
92002,Théâtre des Amandiers - Palais des sports,OUI,23,14,9,2,7,OUI,OUI,2026-02-07T21:58:36+00:00,"{'lon': 2.2136941552162, 'lat': 48.892648526839}",Nanterre,92050,
43009,Place Jean-Spire-Lemaître,OUI,50,33,17,6,11,OUI,OUI,2026-02-07T22:04:33+00:00,"{'lon': 2.452062070369721, 'lat': 48.8468428626593}",Vincennes,94080,
31028,Raspail Barbès,OUI,28,20,8,2,6,OUI,OUI,2026-02-07T21:59:51+00:00,"{'lon': 2.4247387, 'lat': 48.8529945}",Montreuil,93048,
17032,Jean Oestreicher - Porte de Champerret,OUI,21,12,9,6,3,OUI,OUI,2026-02-07T21:59:02+00:00,"{'lon': 2.288640439510346, 'lat': 48.88655580065981}",Paris,75056,
44010,8 Mai 1945 - 10 Juillet 1940,OUI,30,6,22,17,5,OUI,OUI,2026-02-07T22:02:28+00:00,"{'lon': 2.3979035764933, 'lat': 48.784567029674}",Vitry-sur-Seine,94081,
8016,Square Louis XVI,OUI,29,17,12,10,2,OUI,OUI,2026-02-07T22:04:23+00:00,"{'lon': 2.323658830743138, 'lat': 48.87320440102894}",Paris,75056,
